@id	name	lat	lon	@lat	@lon	addr:city	addr:postcode	operator
1261120236	Centre d'incendie et de secours de Binic			48.6085464	-2.8356415			SDIS 22
2396597863	Service de Sauvetage et de Lutte contre l'Incendie des Aéronefs			47.9719786	-4.1746328			Aéroports de Bretagne Ouest
3741617314	Centre d'incendie et de secours de Saint-Malo			48.6476536	-2.0111124			SDIS 35
7196157210	Centre d’incendie et de secours de Clohars-Fouesnant			47.8973891	-4.0928385			SDIS 29
8662419808	Centre d'incendie et de secours des Glénans			47.7230554	-4.0032880			SDIS 29
9064522756	Marins-pompiers			47.7487542	-3.3453859			Marine nationale
12409833657	SDIS 22			48.5150223	-2.8018418			
31100008	Centre d'incendie et de secours de Quintin			48.4036653	-2.9198983			SDIS 22
42593416	SSLIA			48.4451586	-4.4174991			Aéroports de Bretagne Ouest
60616002	Centre d'incendie et de Secours d'Erce-Teillay			47.8162155	-1.5468693			SDIS 35
66784962	Centre d'incendie et de secours de Pénestin			47.4823331	-2.4766546			SDIS 56
66855302	Centre d'incendie et de secours de Guichen			47.9620759	-1.8065624			SDIS 35
70308709	Centre d'incendie et de secours du Faouët			48.0359688	-3.4950611			SDIS 56
79278181	Centre d'incendie et de secours de Montfort-sur-Meu			48.1336546	-1.9578749			SDIS 35
81749134	Centre d'incendie et de secours d'Acigné			48.1353970	-1.5427222			SDIS 35
81773338	Centre d'incendie et de secours de Bazouges-la-Pérouse			48.4272799	-1.5645943			SDIS 35
81819572	Centre d'incendie et de secours de Bécherel			48.2968372	-1.9459525			SDIS 35
83170224	Centre d'incendie et de secours de Guignen			47.9200374	-1.8634942			SDIS 35
83354317	Centre d'incendie et de secours de Hédé-Bazouges			48.2953038	-1.7964799			SDIS 35
83364416	Centre d'incendie et de secours d'Irodouër			48.2497265	-1.9485382			SDIS 35
84350372	Centre d'incendie et de secours de La Bouëxière			48.1796168	-1.4344852			SDIS 35
84733136	Centre d'incendie et de secours de Plougonven			48.5245087	-3.7152616			SDIS 29
84993041	Centre d'incendie et de secours de Châteauneuf-du-Faou			48.1871070	-3.8179299			SDIS 29
85921908	Centre d'incendie et de secours de Cancale			48.6770935	-1.8639201			SDIS 35
90802131	Centre d'incendie et de secours de Domalain			47.9937190	-1.2407440	Domalain	35680	SDIS 35
93152761	Centre d'incendie et de secours de Pont-l'Abbé			47.8704700	-4.2251512			SDIS 29
95592736	Centre d'incendie et de secours de Pleudihen-sur-Rance			48.5087913	-1.9532974			SDIS 22
96483229	SSLIA			48.0688011	-1.7302002			Aéroport Rennes Bretagne
98201879	Centre d'incendie et de secours de Melgven			47.9077779	-3.8354694			SDIS 29
99911299	Centre d'incendie et de secours d'Elliant			47.9943865	-3.8849580			SDIS 29
111227886	Centre d'incendie et de secours de La Guerche-de-Bretagne			47.9438265	-1.2408760			SDIS 35
112390710	Centre d'incendie et de secours de Guiscriff			48.0482413	-3.6536970			SDIS 56
120152191	Centre d'incendie et de secours de Noyal-sur-Vilaine			48.1118005	-1.5301875			SDIS 35
122501819	Centre d'incendie et de secours de Quédillac			48.2511155	-2.1432685			SDIS 35
123131725	Centre d'incendie et de secours de Plouhinec			47.6974545	-3.2486260			SDIS 56
123443886	Centre d'incendie et de secours d'Houat			47.3904209	-2.9615118			SDIS 56
128756455	Centre d'Incendie et de Secours de Landivisiau			48.5069654	-4.0688975			SDIS 29
135597582	Centre d'incendie et de secours de L'Hermitage			48.1221245	-1.8221135			SDIS 35
144602613	Centre d'incendie et de secours de Kerfourn			48.0442519	-2.8331239			SDIS 56
144618724	Centre d'incendie et de secours de Guern			48.0292455	-3.0877985			SDIS 56
145683333	Centre d'incendie et de secours de Noyal-Pontivy			48.0698490	-2.8741985			SDIS 56
150934198	Centre d'incendie et de secours de Plémy			48.3355312	-2.6793614			SDIS 22
169104757	Centre d'incendie et de secours Île d'Arz			47.5926545	-2.8005650			SDIS 56
169112931	Centre d'incendie et de secours de l'Île-aux-Moines			47.5922494	-2.8484834			SDIS 56
170876812	Centre d'incendie et de secours de Pluméliau			47.9600281	-2.9771699			SDIS 56
177688791	Caserne de l'Île Longue			48.2965365	-4.5215679			Marine nationale
178687206	Centre d'incendie et de secours de Malestroit			47.8094345	-2.3768320			SDIS 56
181177654	Centre d'incendie et de secours de Pommerit-le-Vicomte			48.6159017	-3.0972235			SDIS 22
181252373	Centre d'incendie et de secours de Josselin			47.9597865	-2.5440985			SDIS 56
181504108	Centre d'incendie et de secours de Ploeren			47.6539180	-2.8679335			SDIS 56
185537453	Compagnie des Marins-pompiers de Brest			48.3731644	-4.5145100			Marine nationale
195367803	Centre d'incendie et de secours de Vannes			47.6677990	-2.7725614			SDIS 56
198977037	Centre d'incendie et de secours de Bieuzy-les-Eaux			47.9844165	-3.0641620			SDIS 56
207188851	Centre de secours principal de Brest-Kerallan			48.4235650	-4.4805059			SDIS 29
208473866	Centre d'incendie et de secours de Baud			47.8727460	-3.0203875			SDIS 56
231101278	Centre de secours principal de Quimper			47.9744391	-4.0788548			SDIS 29
233124402	Centre d'incendie et de secours d'Erquy			48.6284085	-2.4585860			SDIS 22
240964281	Centre d'incendie et de secours de Campénéac			47.9623175	-2.3007555			
244486691	Centre d'incendie et de secours de Ménéac			48.1396025	-2.4629885			SDIS 56
245157417	Centre d'incendie et de secours de La Trinité-Porhoët			48.0973898	-2.5393185			SDIS 56
249823460	Centre d'incendie et de secours d'Hoëdic			47.3406825	-2.8816709			SDIS 56
252105325	Centre d'incendie et de secours de Belle-Isle-en-Terre			48.5430132	-3.3961800			SDIS 22
252193655	Centre d'incendie et de secours de Goudelin			48.6046233	-3.0209236			SDIS 22
252291621	Centre d'incendie et de secours d'Huelgoat			48.3619940	-3.7526618			SDIS 29
262787190	Centre d'incendie et de secours d'Hénon			48.3859375	-2.6846995			SDIS 22
265844872	Centre d'incendie et de secours de Pléhédel			48.6968332	-3.0121774			SDIS 22
280464351	Centre d'incendie et de secours de Molène			48.3965632	-4.9568361			SDIS 29
280567911	Centre d'incendie et de secours d'Inguiniel			47.9780698	-3.2822755			SDIS 56
280768169	Centre d'incendie et de secours de Sein			48.0386723	-4.8508066			SDIS 29
301487337	Centre d'incendie et de secours de Rohan			48.0671030	-2.7524780			SDIS 56
313373993	Centre d'incendie et de secours de Plessala			48.2754275	-2.6166210			SDIS 22
313556767	Centre d'incendie et de secours de Plougenast			48.2796150	-2.7001261			SDIS 22
317392329	Centre d'incendie et de secours de Saint-Carreuc			48.3970680	-2.7337455			SDIS 22
339824970	Centre d'incendie et de secours de Dinan			48.4566815	-2.0648275		22100	SDIS 22
361873971	Centre d'incendie et de secours de Plonéour			47.9038554	-4.2790850			SDIS 29
373295648	Centre d'incendie et de secours de Plancoët			48.5209469	-2.2318272			SDIS 22
381400660	Centre d'incendie et de secours de Saint-Sulpice-des-Landes			47.7667620	-1.6193995			SDIS 35
390993052	Centre d'incendie et de secours de Redon			47.6602993	-2.0692527			SDIS 35
390998046	Centre d'incendie et de secours de Val d’Anast			47.8894907	-1.9795951			SDIS 35
391101492	Centre d'incendie et de secours de Guipry			47.8320376	-1.8355920			SDIS 35
391103281	Centre d'incendie et de secours de Grand-Fougeray			47.7303412	-1.7258787			SDIS 35
391107172	Centre d'incendie et de secours de Bain-de-Bretagne			47.8440241	-1.6979874			SDIS 35
391111756	Centre d'incendie et de Secours de La Couyère			47.8828291	-1.4924924			SDIS 35
391113666	Centre d'incendie et de secours de Pipriac			47.8073321	-1.9277604			SDIS 35
391289625	Centre d'incendie et de secours de Gaël-Muël			48.1286990	-2.2302266			SDIS 35
391292109	Centre d'incendie et de secours de Bedée			48.1827736	-1.9414989			SDIS 35
391293088	Centre d'incendie et de secours de Montauban-de-Bretagne			48.1960957	-2.0332481			SDIS 35
391293890	Centre d'incendie et de secours de Saint-Méen-le-Grand			48.1934134	-2.1941298			SDIS 35
391294648	Centre d'incendie et de secours de Romillé			48.2193458	-1.8902927			SDIS 35
391408224	Centre d'incendie et de secours de Médréac			48.2690027	-2.0590790			SDIS 35
391882488	Centre d'incendie et de secours de Mordelles			48.0771235	-1.8373937			SDIS 35
391883368	Centre d'incendie et de secours de Corps-Nuds			47.9878322	-1.5835606			SDIS 35
391884053	Centre d'incendie et de secours de Rennes Sud-Ouest - Site Chartres-de-Bretagne			48.0344200	-1.7016176			SDIS 35
391888321	Centre d'incendie et de secours de Châteaugiron			48.0466168	-1.4901161			SDIS 35
391896482	Centre d'incendie et de secours de Servon-sur-Vilaine			48.1244007	-1.4662173			SDIS 35
391898427	Centre d'incendie et de secours de Rennes Le Blosne			48.0828931	-1.6617414			SDIS 35
391902223	Centre d'incendie et de secours de Rennes Beauregard			48.1254964	-1.7133381			SDIS 35
392162737	Centre d'incendie et de secours de Pacé			48.1487764	-1.7782305			SDIS 35
392166230	Centre d'incendie et de secours de Gévezé			48.2213745	-1.7858666			SDIS 35
392167736	Centre d'incendie et de secours de Melesse			48.2131691	-1.6958060			SDIS 35
392169887	Centre d'incendie et de secours de Betton			48.1847730	-1.6319671			SDIS 35
392173668	Centre d'incendie et de secours de Saint-Aubin d'Aubigné			48.2608650	-1.6195462			SDIS 35
392174598	Centre d'incendie et de secours de Gahard			48.3013832	-1.5184864			SDIS 35
392175338	Centre d'incendie et de secours de Sens-de-Bretagne			48.3299266	-1.5283279			SDIS 35
392176197	Centre d'incendie et de secours d'Ille-et-Rance			48.3041778	-1.6795725			SDIS 35
392178276	Centre d'incendie et de secours de Dol-de-Bretagne			48.5526659	-1.7172394			SDIS 35
392180128	Centre d'incendie et de secours de Pleine Fougères			48.5335467	-1.5570938			SDIS 35
392445367	Centre d'incendie et de secours de Rance Rive Gauche - Site Dinard			48.6217078	-2.0713738			SDIS 35
392748427	Centre d'incendie et de secours de Plerguer			48.5318918	-1.8506083			SDIS 35
392752127	Centre d'incendie et de secours de Combourg			48.4162712	-1.7552423			SDIS 35
392841285	Centre d'incendie et de secours de Tinténiac			48.3276501	-1.8459537			SDIS 35
392859540	Centre d'incendie et de secours de Fougères			48.3509887	-1.1840365			SDIS 35
392870327	Centre d'incendie et de secours d'Autrain			48.4548424	-1.4842783			SDIS 35
392871550	Centre d'incendie et de secours de Tremblay			48.4278982	-1.4714601			SDIS 35
392872821	Centre d'incendie et de secours de Saint-Georges-de-Reintembault			48.5054187	-1.2398529			SDIS 35
392873571	Centre d'incendie et de secours de Louvigné-du-Désert			48.4836198	-1.1301034			SDIS 35
392873864	Centre d'incendie et de secours de La Bazouge-du-Désert			48.4364178	-1.1074932			SDIS 35
393621036	Centre d'incendie et de secours de Saint-Brice-en-Coglès			48.4064207	-1.3683178			SDIS 35
394735498	Centre d'incendie et de secours de Saint-Germain-en-Coglès			48.4014102	-1.2615490			SDIS 35
394737454	Centre d'incendie et de secours de Saint-Ouen-des-Alleux			48.3291159	-1.4283664			SDIS 35
394741364	Centre d'incendie et de secours de Saint-M'Hervé			48.1739058	-1.1173453			SDIS 35
394743411	Centre d'incendie et de secours de Vitré			48.1193768	-1.2041548			SDIS 35
394745062	Centre d'incendie et de secours de Châteaubourg			48.1125523	-1.3939386			SDIS 35
394745871	Centre d'incendie et de secours d'Erbrée			48.0966945	-1.1212312			SDIS 35
394746837	Centre d'incendie et de secours de Domagné			48.0762106	-1.3968240			SDIS 35
394749720	Centre d'incendie et de secours de Louvigné-de-Bais			48.0468751	-1.3339313			SDIS 35
394751949	Centre d'incendie et de secours d'Argentré-Étrelles			48.0548278	-1.1678773			SDIS 35
394752608	Centre d'incendie et de secours de Le Pertre			48.0298048	-1.0360487			SDIS 35
394752990	Centre d'incendie et de secours de Bais			48.0137113	-1.2984131			SDIS 35
394753534	Centre d'incendie et de secours de Piré-sur-Seiche			48.0090223	-1.4264813			SDIS 35
394976873	Centre d'incendie et de secours de Martigné-Ferchaud			47.8228606	-1.3254684			SDIS 35
394986937	Centre d'incendie et de secours de Bourg-des-Comptes			47.9312989	-1.7428066			SDIS 35
394987865	Centre d'incendie et de secours de Laillé			47.9783829	-1.7110564			SDIS 35
394996522	Centre d'incendie et de secours de Bréal-sous-Montfort			48.0485970	-1.8631344			SDIS 35
394997352	Centre d'incendie et de secours d'Iffendic			48.1322710	-2.0241510			SDIS 35
395172159	Centre d'incendie et de Secours de Messac			47.8254649	-1.7973648			SDIS 35
395173531	Centre d'incendie et de secours de Rennes Sud-Ouest - Site Bruz			48.0209646	-1.7525579			SDIS 35
407348790	Centre d'incendie et de secours de Bourbriac			48.4788635	-3.1851205			SDIS 22
418380185	Centre d'incendie et de secours d'Ouessant			48.4598244	-5.0902789			SDIS 29
424591212	Centre d'incendie et de secours du Palais			47.3416611	-3.1738968			SDIS 56
435768609	Centre d'incendie et de secours de Bréhat			48.8438536	-3.0023471			SDIS 22
481422772	Centre d'incendie et de secours de Camaret			48.2734551	-4.5957937			SDIS 29
501804176	Centre d'incendie et de secours de Rance Rive Gauche - Site Pleurtuit			48.5861978	-2.0599397			SDIS 35
524707968	Centre d'incendie et de secours de Paimpol			48.7645208	-3.0575404			SDIS 22
541976153	Centre d'incendie et de secours de Liffré			48.2192091	-1.4925404			SDIS 35
560402575	Centre d'incendie et de secours de Pouldreuzic-Plovan			47.9502928	-4.3572786			SDIS 29
565380971	Centre d'incendie et de secours de Guingamp			48.5678042	-3.1348326			SDIS 22
579046141				48.2822999	-4.4344425			Marine nationale
629235651	Centre d'incendie et de secours de Plouasne			48.3017705	-2.0072846			SDIS 22
674605633	Centre d'incendie et de secours de Cap Caval			47.8187263	-4.2920380	Plomeur		SDIS 29
694495599	Centre d'incendie et de secours de Mauron			48.0837799	-2.2828221			SDIS 56
698592857	Centre d'incendie et de secours de Pontrieux			48.6994983	-3.1650556			SDIS 22
711879498	Centre d'incendie et de secours de Ploërmel			47.9285715	-2.3933625	Ploërmel	56800	SDIS 56
711966954	Centre d'incendie et de secours du Pays de Guer			47.9059809	-2.1224574			SDIS 56
711970171	Centre d'incendie et de secours de La Gacilly			47.7646842	-2.1376807			SDIS 56
711971333	Centre d'incendie et de secours de Molac			47.7332379	-2.4374608			SDIS 56
711977211	Centre d'incendie et de secours d'Elven			47.7358603	-2.5859851			SDIS 56
711985590	Centre d'incendie et de secours de Rochefort-en-Terre			47.6985104	-2.3495009			SDIS 56
711985615	Centre d'incendie et de secours de Grand-Champ			47.7587746	-2.8510590			SDIS 56
711987354	Centre d'incendie et de secours de Questembert			47.6684050	-2.4463412			SDIS 56
711990023	Centre d'incendie et de secours de La Roche-Bernard			47.5199808	-2.2836811			SDIS 56
712395144	Centre d'incendie et de secours de Muzillac			47.5603414	-2.4985647			SDIS 56
712395148	Centre d'incendie et de secours de Péaule			47.5783849	-2.3625608			SDIS 56
712396230	Centre d'incendie et de secours de Surzur			47.5812152	-2.6324064			SDIS 56
712401209	Centre d'incendie et de secours de Sarzeau			47.5294436	-2.7561323	Sarzeau	56370	Commune de Sarzeau;SDIS 56
712454439	Centre d'incendie et de secours de Plescop			47.7006724	-2.8033057			SDIS 56
712454445	Centre d'incendie et de secours d'Arzon			47.5459951	-2.8839237			SDIS 56
712465620	Centre d'incendie et de secours de Quiberon			47.4914791	-3.1246744			SDIS 56
712472828	Centre d'incendie et de secours de Carnac			47.5888242	-3.0870390			SDIS 56
712477229	Centre d'incendie et de secours d'Auray			47.6678292	-3.0105319			SDIS 56
712495791	Centre d'incendie et de secours de Belz-Etel			47.6693264	-3.1795202			SDIS 56
712497141	Centre d'incendie et de secours de Pluvigner			47.7775937	-3.0053183			SDIS 56
712500915	Centre d'incendie et de secours de Port-Louis			47.7139992	-3.3297553			SDIS 56
712552497	Centre d'incendie et de secours de Plouay			47.9174151	-3.3384355			SDIS 56
712552498	Centre d'incendie et de secours d'Hennebont			47.7977619	-3.3022288			SDIS 56
712552501	Centre d'incendie et de secours de Languidic			47.8313004	-3.1598587			SDIS 56
712554513	Centre d'incendie et de secours de Bubry			47.9633931	-3.1770007			SDIS 56
712555087	Centre d'incendie et de secours de Guidel			47.8030722	-3.4774350			SDIS 56
712556089	Centre d'incendie et de secours de Ploemeur			47.7287356	-3.4164235			SDIS 56
712558898	Centre d'incendie et de secours de Plumelec			47.8406886	-2.6402881			SDIS 56
712636598	Centre d'incendie et de secours de Saint-Jean-Brévelay			47.8431122	-2.7104547			SDIS 56
712640573	Centre d'incendie et de secours de Locminé			47.8748440	-2.8280676			SDIS 56
712662495	Centre d'incendie et de secours de Pontivy			48.0539788	-2.9663147			SDIS 56
712670254	Centre d'incendie et de secours de Melrand			47.9800563	-3.1123867			SDIS 56
712672457	Centre d'incendie et de secours de Cléguérec			48.1252384	-3.0649377			SDIS 56
712689155	Centre d'incendie et de secours de Ploërdut			48.0858779	-3.2875041			SDIS 56
712689159	Centre d'incendie et de secours de Guéméné-sur-Scorff			48.0672294	-3.1961563			SDIS 56
712690524	Centre d'incendie et de secours de Plouray			48.1419961	-3.3858238			SDIS 56
712698376	Centre d'incendie et de secours de Gourin			48.1398944	-3.6111441			SDIS 56
727311229	Centre d'incendie et de secours de Lézardrieux			48.7846952	-3.1088448			SDIS 22
727311234	Centre d'incendie et de secours de Saint-Brieuc			48.5145038	-2.7802371			SDIS 22
727311238	Centre d'incendie et de secours de Loudéac			48.1736193	-2.7574685		22600	SDIS 22
727311249	Centre d'incendie et de secours de Perros-Guirec			48.8057512	-3.4743718			SDIS 22
727311264	Centre d'incendie et de secours de Lamballe			48.4769924	-2.4970890			SDIS 22
727312836	Centre d'incendie et de secours de Rostrenen			48.2434167	-3.2945245			SDIS 22
727600441	Centre d'incendie et de secours de Vern-sur-Seiche			48.0343793	-1.5985264			SDIS 35
727908930	Centre d'incendie et de secours d'Uzel			48.2832568	-2.8377027			SDIS 22
727908932	Centre d'incendie et de secours de Callac			48.4048559	-3.4284304		22160	SDIS 22
727908938	Centre d'incendie et de secours de Caulnes			48.2921328	-2.1535801			SDIS 22
728721079	Centre d'incendie et de secours de Lesneven			48.5848232	-4.3188129	Lesneven	29260	SDIS 29
728728310	Centre d'incendie et de secours de Ploudalmézeau			48.5438224	-4.6767781	Ploudalmezeau	29830	SDIS 29
728737232	Centre d'incendie et de secours de Saint-Thegonnec			48.5257321	-3.9367871			SDIS 29
728790628	Centre d'incendie et de secours de Morlaix			48.5835022	-3.8043873			SDIS 29
728796761	Centre d'incendie et de secours de Saint-Renan			48.4232546	-4.6282907			SDIS 29
729086639	Centre d'incendie et de secours de Quimperlé			47.8674089	-3.5731161			SDIS 29
729099238	Centre d'incendie et de secours de Plouescat			48.6538736	-4.1689497			SDIS 29
729326459	Centre d'incendie et de secours de Rosporden			47.9616735	-3.8474839			SDIS 29
729329935	Centre d'incendie et de secours de Moëlan-sur-Mer			47.8078762	-3.6306310			SDIS 29
729332085	Centre d'incendie et de secours de Clohars			47.7878244	-3.5817658			SDIS 29
729337292	Centre d'incendie et de secours de Trégourez			48.1064662	-3.8651115			SDIS 29
729338915	Centre d'incendie et de secours de Douarnenez			48.0815593	-4.3160433			SDIS 29
729545692	Centre d'incendie et de secours de Landerneau			48.4605325	-4.2723991			SDIS 29
729547354	Centre d'incendie et de secours de Lanmeur			48.6428411	-3.7190043			SDIS 29
729550733	Centre d'incendie et de secours de Briec			48.0957719	-4.0024691			SDIS 29
729636388	Centre d'incendie et de secours de Plouguerneau			48.6063757	-4.4968711	Plouguerneau	29880	SDIS 29
729658102	Centre d'incendie et de secours de Spézet			48.1949054	-3.7140543			SDIS 29
729891474	Centre d'incendie et de secours de Coray			48.0581216	-3.8428129			SDIS 29
729892953	Saint Thurien			47.9613894	-3.6273850	Saint-Thurien	29380	SDIS 29
729894420	Centre de première intervention de Bannalec			47.9283713	-3.6940082			SDIS 29
729899783	Centre d'incendie et de secours de Querrien			47.9591950	-3.5389953			SDIS 29
729904408	Centre d'incendie et de secours de Concarneau			47.8957755	-3.9108525			SDIS 29
729905864	Centre d'incendie et de secours de Sizun			48.4078712	-4.0812676			SDIS 29
729907717	Centre d'incendie et de secours de Lannilis			48.5653976	-4.5269952			SDIS 29
730164627	Centre d'incendie et de secours de Pleyben			48.2219941	-3.9845339	Pleyben	29190	SDIS 29
730174659	Centre d'incendie et de secours de Châteaulin			48.1938224	-4.0769094			SDIS 29
730180057	Centre d'incendie et de secours de Scaër			48.0259955	-3.7051109			SDIS 29
730185069	Centre d'incendie et de secours de Crozon			48.2473795	-4.4953809			SDIS 29
730188701	Centre d'incendie et de secours de Guerlesquin			48.5116350	-3.5874723	Guerlesquin	29650	SDIS 29
736349976	Centre d'incendie et de secours de Pleneuf-Val-André			48.5782596	-2.5520736			SDIS 22
736352464	Centre d'incendie et de secours de Moncontour			48.3612734	-2.6304869			SDIS 22
736363981	Centre d'incendie et de secours de Plumaugat			48.2556032	-2.2405131			SDIS 22
736844050	Centre d'incendie et de secours du Perray			48.4819549	-2.6974969			SDIS 22
736846067	Centre d'incendie et de secours de Loguivy-Plougras			48.5148387	-3.4873390			SDIS 22
736854590	Centre d'incendie et de secours d'Yvignac-la-Tour			48.3468785	-2.1784513			SDIS 22
736864628	Centre d'incendie et de secours de Plouaret			48.6052091	-3.4653483			SDIS 22
736896243	Centre d'incendie et de secours de Plouha			48.6786755	-2.9315257			SDIS 22
736897493	Centre d'incendie et de secours de Plestin-les-Grèves			48.6547480	-3.6343917			SDIS 22
736905145	Centre d'incendie et de secours du Sud-Goëlo			48.6431017	-2.8329999			SDIS 22
737283934	Centre d'incendie et de secours du Faou			48.2999740	-4.1665815	Le Faou	29590	SDIS 29
744465864	Centre d'incendie et de secours de Bégard			48.6245392	-3.3016538			SDIS 22
744471345	Centre d'incendie et de secours de Saint-Caradec			48.1919369	-2.8452757			SDIS 22
744473903	Centre d'incendie et de secours de Corlay			48.3141886	-3.0624078			SDIS 22
744477980	Centre d'incendie et de secours d'Hénanbihen			48.5567433	-2.3807766			SDIS 22
746267351	Centre d'incendie et de secours de la Côte d'Émeraude			48.6076501	-2.2765918			SDIS 22
746267878	Centre d'incendie et de secours de Merdrignac			48.1945006	-2.4167426			SDIS 22
746391602	Centre d'incendie et de secours de Plémet			48.1729453	-2.5936093			SDIS 22
746392939	Centre d'incendie et de secours de Plénée-Jugon			48.3658325	-2.3954875			SDIS 22
746403866	Centre d'incendie et de secours de Pleubian			48.8321465	-3.1425700			SDIS 22
746407553	Centre d'incendie et de secours de Plœuc-sur-Lié			48.3442430	-2.7585008			SDIS 22
746410227	Centre d'incendie et de secours de Pordic			48.5730134	-2.8217258			SDIS 22
746418709	Centre d'incendie et de secours de Saint-Nicolas-du-Pélem			48.3072982	-3.1658608			SDIS 22
746470212	Centre d'incendie et de secours de Carhaix			48.2738185	-3.5584564			SDIS 29
746479959	Centre d'incendie et de secours de Fouesnant-Pleuven			47.8898432	-4.0283561			SDIS 29
749233460	Centre d'incendie et de secours de Saint-Pol-de-Léon			48.6898885	-3.9875809			SDIS 29
749238227	Centre d'incendie et de secours de Plozévet			47.9895779	-4.4318058			SDIS 29
749257797	Centre d'incendie et de secours de Brasparts			48.3075519	-3.9544852			SDIS 29
749261067	Centre d'incendie et de secours de Plabennec			48.4925163	-4.4241895		29860	SDIS 29
749262073	Centre d'incendie et de secours Brest-Foch			48.3964185	-4.4894411	Brest		SDIS 29
759246368	Centre d'incendie et de secours de Saint-Goazec			48.1610070	-3.7869415			SDIS 29
765673270	Centre d'incendie et de secours de Lorient			47.7491110	-3.3885580			SDIS 56
893933403	Centre d'incendie et de secours Les Ébihens			48.5740605	-2.1491327			SDIS 22
896286924	Centre d'incendie et de secours de Lanvollon			48.6376019	-2.9921095			SDIS 22
896286930	Centre d'incendie et de secours de Plélo-Châtelaudren			48.5479512	-2.9600989			SDIS 22
922992756	Centre d'incendie et de secours de Réguigny			47.9854108	-2.7482527			SDIS 56
922995956	Centre d'incendie et de secours de Janzé			47.9520983	-1.4904138			SDIS 35
934694649	Centre d’incendie et de secours Inizan			47.8271630	-4.2006711			SDIS 29
934704830	Centre d'incendie et de secours du Pays de l’Aven			47.8519914	-3.7338118			SDIS 29
937395511	Marins-pompiers			48.5252209	-4.1493934			Marine nationale
957504395	Marins-Pompiers			47.7735798	-3.4399563			Marine nationale
961715061	Centre d'incendie et de secours de Lannion			48.7544471	-3.4427671			SDIS 22
1021610044	Centre d'incendie et de secours de Groix			47.6437837	-3.4539015			SDIS 56
1056278260	Centre d'incendie et de de secours de Plélan-le-Grand			47.9998332	-2.0933884			SDIS 35
1068094191	Centre d'incendie et secours Rennes Saint-Georges			48.1127566	-1.6445368	Rennes	35700	SDIS 35
1104024765	Centre d'incendie et de secours du Cap Sizun			48.0428376	-4.5177680			SDIS 29
1155225462	Centre d’incendie et de secours Gwerledan-Mûr			48.2079176	-2.9936741			SDIS 22
1187881439	Centre d'incendie et de secours de Maël-Carhaix			48.2837854	-3.4211767			SDIS 22
1303022086	Centre d'incendie et de secours Minihy-Treguier			48.7782057	-3.2360476			SDIS 22
1327654687	Centre d'incendie et de secours de Saint-Aubin-du-Cormier			48.2612191	-1.4123990			SDIS 35
1350493038	Centre d'incendie et de secours de Jugon-les-Lacs			48.4094066	-2.3436062			SDIS 22
1379272238				47.3416273	-3.1738092			SDIS 56
1389318202	Centre d'incendie et de secours de Baulon			47.9867160	-1.9247199			SDIS 35
1421543438	Centre d'incendie et de secours de Batz			48.7439959	-4.0004117			SDIS 29
1443025782	Centre d'incendie et de secours de Retiers			47.9037907	-1.3741302			SDIS 35
13840254	Centre d'incendie et de secours de Leuhan			48.0921942	-3.7692400			SDIS 29
